Organisation,Description,Category,Tech Stack,Tags,Idea List,IRC Channel,Org Page
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics.,"
Other
","['web services', 'ogc standards', 'java', 'javascript', 'web']","['geoinformatics', 'sensor web', 'web-based geoprocessing', 'spatial data infrastructures', 'spatial information']",https://wiki.52north.org/Projects/GSoC2017ProjectIdeas,http://list.52north.org/mailman/listinfo/gsoc,https://summerofcode.withgoogle.com/archive/2017/organizations/4959751460880384/
AboutCode,"Open Source for Open Source: software license, origin and packages discovery","
Programming Languages and Development Tools
","['python', 'c/c++', 'javascript', ' shell script', 'static analysis']","['free and open source software  license and origin', 'package and dependencies licensing and origin', 'package vulnerabilities and security', 'code scan and matching', 'code analysis and spdx']",https://github.com/nexB/aboutcode/wiki/GSOC-2017,https://webchat.freenode.net/?channels=#aboutcode,https://summerofcode.withgoogle.com/archive/2017/organizations/6448304984424448/
AerospaceResearch.net,Making Space Together,"
Science and Medicine
","['python', 'c/c++', 'vhdl', 'boinc']","['cubesats', 'space applications', 'software defined radio', 'distributed computing', 'simulations']",http://aerospaceresearch.net/?page_id=202,https://lists.shackspace.de/mailman/listinfo/constellation,https://summerofcode.withgoogle.com/archive/2017/organizations/6713622831038464/
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","
Programming Languages and Development Tools
","['python', ' javascript', 'machine learning', 'artificial intelligence', 'java']","['artificial intelligence', 'machine learning', 'education']",http://aima.cs.berkeley.edu/gsoc-ideas.html,https://gitter.im/aimacode/,https://summerofcode.withgoogle.com/archive/2017/organizations/6119722806411264/
Amahi,Making Home Networking and Storage Simple,"
Operating Systems
","[' android', 'golang', 'restful api', 'streaming', 'ruby on rails']","['home servers', 'networking', 'storage', 'webapps', 'mobile streaming']",https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org,https://summerofcode.withgoogle.com/archive/2017/organizations/6673844588773376/
AOSSIE - Australian Open Source Software Innovation and Education,Umbrella Org for Open-Source Projects in Australia,"
Science and Medicine
","['scala', 'javascript/html/css', 'automated reasoning', 'android/ios', 'xcode']","['logic', 'electronic voting', 'natural language processing', 'philosophy', 'environment']",https://aossie.gitlab.io/#ideas,https://groups.google.com/forum/#!forum/aossie-gsoc-2017,https://summerofcode.withgoogle.com/archive/2017/organizations/4780102642565120/
Apache Software Foundation,Providing open source software to the public free of charge,"
Other
","['java', 'c', 'erlang']","['cloud', 'libraries', 'big data']",http://s.apache.org/gsoc2017ideas,https://wiki.apache.org/general/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/4633151007621120/
Apertium,Free/open-source rule-based machine translation,"
Other
","['c++', 'xml', 'python', 'nlp']","['natural language processing', 'machine translation', 'lesser-resourced languages']",http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC,https://summerofcode.withgoogle.com/archive/2017/organizations/6618812501721088/
Apertus Association,Open Technology for Professional Film Production,"
Graphics / Video / Audio / Virtual Reality
","['fpga', 'vhdl', 'c', 'linux', 'c++']","['video', 'camera', 'vision', 'real time', 'photography']",https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat,https://summerofcode.withgoogle.com/archive/2017/organizations/6354847569805312/
appleseedhq,A modern open source rendering engine for animation and visual effects,"
Graphics / Video / Audio / Virtual Reality
","['c++', 'python', 'qt']","[' computer graphics', '3d', 'rendering', 'animation', 'vfx']",https://github.com/appleseedhq/appleseed/wiki/List-of-Project-ideas-for-GSoC-2017,https://groups.google.com/forum/#!forum/appleseed-dev,https://summerofcode.withgoogle.com/archive/2017/organizations/6110372931043328/
